Sample,Ntotal,NisGood,isGoodfrac,nEBEB,nEBEEorEEEB,nEEEE,npTcut
GluGluSpin0ToGammaGamma_W_1p4_M_5000,68674,57407,0.835935,41323,14336,1303,57407
GluGluSpin0ToGammaGamma_W_1p4_M_2500,69917,59470,0.85058,47754,10218,1150,59470
GluGluSpin0ToGammaGamma_W_1p4_M_3500,69840,58730,0.840922,43958,13130,1279,58730
GluGluSpin0ToGammaGamma_W_1p4_M_1500,73941,63667,0.861051,50526,11787,983,63667
GluGluSpin0ToGammaGamma_W_1p4_M_2250,72155,61557,0.853122,49747,10283,1198,61557
GluGluSpin0ToGammaGamma_W_1p4_M_2000,73696,62797,0.852109,51029,10308,1088,62797
GluGluSpin0ToGammaGamma_W_1p4_M_3000,71270,60385,0.847271,46941,11765,1319,60385
GluGluSpin0ToGammaGamma_W_1p4_M_4750,65940,55075,0.835229,39813,13586,1282,55075
GluGluSpin0ToGammaGamma_W_1p4_M_4000,69096,57954,0.838746,42678,13657,1199,57954
GluGluSpin0ToGammaGamma_W_1p4_M_1000,72551,62602,0.862869,47192,14053,962,62602
GluGluSpin0ToGammaGamma_W_1p4_M_1750,74009,63486,0.857815,51054,11045,1008,63486
GluGluSpin0ToGammaGamma_W_1p4_M_4250,69228,57954,0.837147,42074,14112,1354,57954
GluGluSpin0ToGammaGamma_W_1p4_M_4500,68931,57817,0.838766,42062,14110,1294,57817
GluGluSpin0ToGammaGamma_W_1p4_M_750,70598,60853,0.861965,44247,15179,1021,60853
