Sample,Ntotal,NisGood,isGoodfrac,nEBEB,nEBEEorEEEB,nEEEE,npTcut
RSGravitonToGammaGamma_kMpl01_M_1500,67054,58287,0.869255,41381,15158,1280,58287
RSGravitonToGammaGamma_kMpl01_M_4500,78700,70461,0.895311,65071,4421,739,70461
RSGravitonToGammaGamma_kMpl01_M_5000,77228,69304,0.897395,65072,3393,651,69304
RSGravitonToGammaGamma_kMpl01_M_5750,81181,73225,0.901997,69892,2632,530,73225
RSGravitonToGammaGamma_kMpl01_M_3000,76326,67569,0.885268,57448,8540,1225,67569
RSGravitonToGammaGamma_kMpl01_M_4750,80211,71981,0.897396,66961,4101,693,71981
RSGravitonToGammaGamma_kMpl01_M_1250,66793,57579,0.862051,38946,17032,1169,57579
RSGravitonToGammaGamma_kMpl01_M_2500,73804,65025,0.88105,53138,10277,1249,65025
RSGravitonToGammaGamma_kMpl01_M_750,63565,51469,0.809707,32549,17861,622,51469
RSGravitonToGammaGamma_kMpl01_M_4250,79273,70660,0.89135,64605,5037,776,70660
RSGravitonToGammaGamma_kMpl01_M_6500,81650,73798,0.903833,71264,1836,567,73798
RSGravitonToGammaGamma_kMpl01_M_6000,81285,73371,0.902639,70331,2340,555,73371
RSGravitonToGammaGamma_kMpl01_M_7000,77175,69922,0.906019,67869,1401,521,69922
